"clistingid","csku","istorageid","ccreateuser","dcreatedate"
"9650a784-d8c9-1004-8a97-438cca05a146","F1214B","1",null,"2015-02-07 19:44:47.43"
"9650a784-d8c9-1004-8a97-438cca05a146","F1214B","2",null,"2015-02-07 19:44:47.43"
"9651e004-d8c9-1004-8a97-438cca05a146","F1155B","1",null,"2015-02-07 19:44:48.26"
"9651e004-d8c9-1004-8a97-438cca05a146","F1155B","2",null,"2015-02-07 19:44:48.26"
"965318e8-d8c9-1004-8a97-438cca05a146","F1156","1",null,"2015-02-07 19:44:49.062"
"965318e8-d8c9-1004-8a97-438cca05a146","F1156","2",null,"2015-02-07 19:44:49.062"
"96540348-d8c9-1004-8a97-438cca05a146","F1113","1",null,"2015-02-07 19:44:49.699"
"96540348-d8c9-1004-8a97-438cca05a146","F1113","2",null,"2015-02-07 19:44:49.699"
"9654faf0-d8c9-1004-8a97-438cca05a146","F1112","1",null,"2015-02-07 19:44:50.308"
"9654faf0-d8c9-1004-8a97-438cca05a146","F1112","2",null,"2015-02-07 19:44:50.308"
"965611d8-d8c9-1004-8a97-438cca05a146","MSP01-g","1",null,"2015-02-07 19:44:50.922"
"965611d8-d8c9-1004-8a97-438cca05a146","MSP01-g","2",null,"2015-02-07 19:44:50.923"
"9656d528-d8c9-1004-8a97-438cca05a146","F1026W","1",null,"2015-02-07 19:44:51.528"
"9656d528-d8c9-1004-8a97-438cca05a146","F1026W","2",null,"2015-02-07 19:44:51.528"
"9657e5d0-d8c9-1004-8a97-438cca05a146","F997W","1",null,"2015-02-07 19:44:52.132"
"9657e5d0-d8c9-1004-8a97-438cca05a146","F997W","2",null,"2015-02-07 19:44:52.132"
"9658a72c-d8c9-1004-8a97-438cca05a146","F997S","1",null,"2015-02-07 19:44:52.673"
"9658a72c-d8c9-1004-8a97-438cca05a146","F997S","2",null,"2015-02-07 19:44:52.673"
"965999c0-d8c9-1004-8a97-438cca05a146","F997RP","1",null,"2015-02-07 19:44:53.265"
"965999c0-d8c9-1004-8a97-438cca05a146","F997RP","2",null,"2015-02-07 19:44:53.266"
"965ab0a8-d8c9-1004-8a97-438cca05a146","F997R","1",null,"2015-02-07 19:44:53.909"
"965ab0a8-d8c9-1004-8a97-438cca05a146","F997R","2",null,"2015-02-07 19:44:53.909"
"965bd85c-d8c9-1004-8a97-438cca05a146","F997LY","1",null,"2015-02-07 19:44:54.619"
"965bd85c-d8c9-1004-8a97-438cca05a146","F997LY","2",null,"2015-02-07 19:44:54.619"
"965ce260-d8c9-1004-8a97-438cca05a146","F997B","1",null,"2015-02-07 19:44:55.295"
"965ce260-d8c9-1004-8a97-438cca05a146","F997B","2",null,"2015-02-07 19:44:55.295"
"965d8094-d8c9-1004-8a97-438cca05a146","F996Y","1",null,"2015-02-07 19:44:55.773"
"965d8094-d8c9-1004-8a97-438cca05a146","F996Y","2",null,"2015-02-07 19:44:55.773"
"965e3e6c-d8c9-1004-8a97-438cca05a146","F996W","1",null,"2015-02-07 19:44:56.362"
"965e3e6c-d8c9-1004-8a97-438cca05a146","F996W","2",null,"2015-02-07 19:44:56.362"
"965edca0-d8c9-1004-8a97-438cca05a146","F996S","1",null,"2015-02-07 19:44:56.887"
"965edca0-d8c9-1004-8a97-438cca05a146","F996S","2",null,"2015-02-07 19:44:56.887"
"965fd3e4-d8c9-1004-8a97-438cca05a146","F996P","1",null,"2015-02-07 19:44:57.398"
"965fd3e4-d8c9-1004-8a97-438cca05a146","F996P","2",null,"2015-02-07 19:44:57.398"
"96609734-d8c9-1004-8a97-438cca05a146","F996BL","1",null,"2015-02-07 19:44:57.907"
"96609734-d8c9-1004-8a97-438cca05a146","F996BL","2",null,"2015-02-07 19:44:57.907"
"9661d7e8-d8c9-1004-8a97-438cca05a146","F996B","1",null,"2015-02-07 19:44:58.731"
"9661d7e8-d8c9-1004-8a97-438cca05a146","F996B","2",null,"2015-02-07 19:44:58.731"
"9662c43c-d8c9-1004-8a97-438cca05a146","F906","1",null,"2015-02-07 19:44:59.285"
"9662c43c-d8c9-1004-8a97-438cca05a146","F906","2",null,"2015-02-07 19:44:59.285"
"9663125c-d8c9-1004-8a97-438cca05a146","F885","1",null,"2015-02-07 19:44:59.977"
"9663125c-d8c9-1004-8a97-438cca05a146","F885","2",null,"2015-02-07 19:44:59.978"
"9663fcbc-d8c9-1004-8a97-438cca05a146","F884","1",null,"2015-02-07 19:45:00.587"
"9663fcbc-d8c9-1004-8a97-438cca05a146","F884","2",null,"2015-02-07 19:45:00.587"
"9665e8ec-d8c9-1004-8a97-438cca05a146","F189","1",null,"2015-02-07 19:45:01.18"
"9665e8ec-d8c9-1004-8a97-438cca05a146","F189","2",null,"2015-02-07 19:45:01.18"
"9667293c-d8c9-1004-8a97-438cca05a146","F878B","1",null,"2015-02-07 19:45:01.716"
"9667293c-d8c9-1004-8a97-438cca05a146","F878B","2",null,"2015-02-07 19:45:01.716"
"9667ec8c-d8c9-1004-8a97-438cca05a146","F175","1",null,"2015-02-07 19:45:02.247"
"9667ec8c-d8c9-1004-8a97-438cca05a146","F175","2",null,"2015-02-07 19:45:02.247"
"9668b48c-d8c9-1004-8a97-438cca05a146","F157","1",null,"2015-02-07 19:45:02.838"
"9668b48c-d8c9-1004-8a97-438cca05a146","F157","2",null,"2015-02-07 19:45:02.839"
"966921ec-d8c9-1004-8a97-438cca05a146","F118","1",null,"2015-02-07 19:45:03.4"
"966921ec-d8c9-1004-8a97-438cca05a146","F118","2",null,"2015-02-07 19:45:03.4"
"9669a52c-d8c9-1004-8a97-438cca05a146","F108","1",null,"2015-02-07 19:45:03.931"
"9669a52c-d8c9-1004-8a97-438cca05a146","F108","2",null,"2015-02-07 19:45:03.931"
"966a128c-d8c9-1004-8a97-438cca05a146","F105","1",null,"2015-02-07 19:45:04.431"
"966a128c-d8c9-1004-8a97-438cca05a146","F105","2",null,"2015-02-07 19:45:04.431"
"966b5f5c-d8c9-1004-8a97-438cca05a146","F98","1",null,"2015-02-07 19:45:04.979"
"966b5f5c-d8c9-1004-8a97-438cca05a146","F98","2",null,"2015-02-07 19:45:04.979"
"966c49bc-d8c9-1004-8a97-438cca05a146","F6","1",null,"2015-02-07 19:45:05.532"
"966c49bc-d8c9-1004-8a97-438cca05a146","F6","2",null,"2015-02-07 19:45:05.532"
"966d0d0c-d8c9-1004-8a97-438cca05a146","F3","1",null,"2015-02-07 19:45:06.051"
"966d0d0c-d8c9-1004-8a97-438cca05a146","F3","2",null,"2015-02-07 19:45:06.051"
"966dd05c-d8c9-1004-8a97-438cca05a146","F2","1",null,"2015-02-07 19:45:06.558"
"966dd05c-d8c9-1004-8a97-438cca05a146","F2","2",null,"2015-02-07 19:45:06.558"
"966ebb20-d8c9-1004-8a97-438cca05a146","F1","1",null,"2015-02-07 19:45:07.171"
"966ebb20-d8c9-1004-8a97-438cca05a146","F1","2",null,"2015-02-07 19:45:07.171"
"966fa580-d8c9-1004-8a97-438cca05a146","GAME099","1",null,"2015-02-07 19:45:07.697"
"966fa580-d8c9-1004-8a97-438cca05a146","GAME099","2",null,"2015-02-07 19:45:07.698"
"967068d0-d8c9-1004-8a97-438cca05a146","GAME089","1",null,"2015-02-07 19:45:08.31"
"967068d0-d8c9-1004-8a97-438cca05a146","GAME089","2",null,"2015-02-07 19:45:08.31"
"96712c20-d8c9-1004-8a97-438cca05a146","GAME086","1",null,"2015-02-07 19:45:08.787"
"96712c20-d8c9-1004-8a97-438cca05a146","GAME086","2",null,"2015-02-07 19:45:08.787"
"96721680-d8c9-1004-8a97-438cca05a146","GAME083","1",null,"2015-02-07 19:45:09.366"
"96721680-d8c9-1004-8a97-438cca05a146","GAME083","2",null,"2015-02-07 19:45:09.366"
"96730270-d8c9-1004-8a97-438cca05a146","GAME074","1",null,"2015-02-07 19:45:09.912"
"96730270-d8c9-1004-8a97-438cca05a146","GAME074","2",null,"2015-02-07 19:45:09.912"
"9673c5c0-d8c9-1004-8a97-438cca05a146","GAME062","1",null,"2015-02-07 19:45:10.487"
"9673c5c0-d8c9-1004-8a97-438cca05a146","GAME062","2",null,"2015-02-07 19:45:10.487"
"9674b084-d8c9-1004-8a97-438cca05a146","GAME061","1",null,"2015-02-07 19:45:11.002"
"9674b084-d8c9-1004-8a97-438cca05a146","GAME061","2",null,"2015-02-07 19:45:11.002"
"967573d4-d8c9-1004-8a97-438cca05a146","GAME056","1",null,"2015-02-07 19:45:11.574"
"967573d4-d8c9-1004-8a97-438cca05a146","GAME056","2",null,"2015-02-07 19:45:11.574"
"96768544-d8c9-1004-8a97-438cca05a146","GAME055","1",null,"2015-02-07 19:45:12.28"
"96768544-d8c9-1004-8a97-438cca05a146","GAME055","2",null,"2015-02-07 19:45:12.28"
"96776fa4-d8c9-1004-8a97-438cca05a146","GAME052","1",null,"2015-02-07 19:45:12.815"
"96776fa4-d8c9-1004-8a97-438cca05a146","GAME052","2",null,"2015-02-07 19:45:12.815"
"96780be4-d8c9-1004-8a97-438cca05a146","GAME050","1",null,"2015-02-07 19:45:13.295"
"96780be4-d8c9-1004-8a97-438cca05a146","GAME050","2",null,"2015-02-07 19:45:13.295"
"9678f644-d8c9-1004-8a97-438cca05a146","GAME049","1",null,"2015-02-07 19:45:13.842"
"9678f644-d8c9-1004-8a97-438cca05a146","GAME049","2",null,"2015-02-07 19:45:13.842"
"9679e0a4-d8c9-1004-8a97-438cca05a146","GAME048","1",null,"2015-02-07 19:45:14.404"
"9679e0a4-d8c9-1004-8a97-438cca05a146","GAME048","2",null,"2015-02-07 19:45:14.404"
"967aa5e8-d8c9-1004-8a97-438cca05a146","GAME047","1",null,"2015-02-07 19:45:14.962"
"967aa5e8-d8c9-1004-8a97-438cca05a146","GAME047","2",null,"2015-02-07 19:45:14.962"
"967b6938-d8c9-1004-8a97-438cca05a146","GAME046","1",null,"2015-02-07 19:45:15.468"
"967b6938-d8c9-1004-8a97-438cca05a146","GAME046","2",null,"2015-02-07 19:45:15.468"
"967c2c88-d8c9-1004-8a97-438cca05a146","GAME045","1",null,"2015-02-07 19:45:15.966"
"967c2c88-d8c9-1004-8a97-438cca05a146","GAME045","2",null,"2015-02-07 19:45:15.966"
"967d16e8-d8c9-1004-8a97-438cca05a146","GAME036","1",null,"2015-02-07 19:45:16.556"
"967d16e8-d8c9-1004-8a97-438cca05a146","GAME036","2",null,"2015-02-07 19:45:16.556"
"967e0148-d8c9-1004-8a97-438cca05a146","GAME037","1",null,"2015-02-07 19:45:17.109"
"967e0148-d8c9-1004-8a97-438cca05a146","GAME037","2",null,"2015-02-07 19:45:17.109"
"967ec498-d8c9-1004-8a97-438cca05a146","GAME035","1",null,"2015-02-07 19:45:17.67"
"967ec498-d8c9-1004-8a97-438cca05a146","GAME035","2",null,"2015-02-07 19:45:17.67"
"967faef8-d8c9-1004-8a97-438cca05a146","GAME033","1",null,"2015-02-07 19:45:18.293"
"967faef8-d8c9-1004-8a97-438cca05a146","GAME033","2",null,"2015-02-07 19:45:18.293"
"9680c0cc-d8c9-1004-8a97-438cca05a146","MSP02-s","1",null,"2015-02-07 19:45:18.906"
"9680c0cc-d8c9-1004-8a97-438cca05a146","MSP02-s","2",null,"2015-02-07 19:45:18.906"
"9681841c-d8c9-1004-8a97-438cca05a146","GAME030","1",null,"2015-02-07 19:45:19.429"
"9681841c-d8c9-1004-8a97-438cca05a146","GAME030","2",null,"2015-02-07 19:45:19.429"
"9682476c-d8c9-1004-8a97-438cca05a146","GAME028","1",null,"2015-02-07 19:45:19.942"
"9682476c-d8c9-1004-8a97-438cca05a146","GAME028","2",null,"2015-02-07 19:45:19.942"
"96830abc-d8c9-1004-8a97-438cca05a146","GAME026","1",null,"2015-02-07 19:45:20.491"
"96830abc-d8c9-1004-8a97-438cca05a146","GAME026","2",null,"2015-02-07 19:45:20.491"
"9683f51c-d8c9-1004-8a97-438cca05a146","GAME022","1",null,"2015-02-07 19:45:21.006"
"9683f51c-d8c9-1004-8a97-438cca05a146","GAME022","2",null,"2015-02-07 19:45:21.006"
"9684b86c-d8c9-1004-8a97-438cca05a146","GAME021","1",null,"2015-02-07 19:45:21.544"
"9684b86c-d8c9-1004-8a97-438cca05a146","GAME021","2",null,"2015-02-07 19:45:21.544"
"96857bbc-d8c9-1004-8a97-438cca05a146","GAME019","1",null,"2015-02-07 19:45:22.08"
"96857bbc-d8c9-1004-8a97-438cca05a146","GAME019","2",null,"2015-02-07 19:45:22.08"
"96863f0c-d8c9-1004-8a97-438cca05a146","GAME018","1",null,"2015-02-07 19:45:22.595"
"96863f0c-d8c9-1004-8a97-438cca05a146","GAME018","2",null,"2015-02-07 19:45:22.595"
"968729d0-d8c9-1004-8a97-438cca05a146","GAME016","1",null,"2015-02-07 19:45:23.137"
"968729d0-d8c9-1004-8a97-438cca05a146","GAME016","2",null,"2015-02-07 19:45:23.137"
"9687ed20-d8c9-1004-8a97-438cca05a146","GAME006","1",null,"2015-02-07 19:45:23.615"
"9687ed20-d8c9-1004-8a97-438cca05a146","GAME006","2",null,"2015-02-07 19:45:23.615"
"9688d780-d8c9-1004-8a97-438cca05a146","KH002","1",null,"2015-02-07 19:45:24.294"
"9688d780-d8c9-1004-8a97-438cca05a146","KH002","2",null,"2015-02-07 19:45:24.294"
"96899ad0-d8c9-1004-8a97-438cca05a146","PSP-BP01","1",null,"2015-02-07 19:45:24.798"
"96899ad0-d8c9-1004-8a97-438cca05a146","PSP-BP01","2",null,"2015-02-07 19:45:24.798"
"968a8530-d8c9-1004-8a97-438cca05a146","F1178W","1",null,"2015-02-07 19:45:25.33"
"968a8530-d8c9-1004-8a97-438cca05a146","F1178W","2",null,"2015-02-07 19:45:25.33"
"968b96a0-d8c9-1004-8a97-438cca05a146","F1179","1",null,"2015-02-07 19:45:26.016"
"968b96a0-d8c9-1004-8a97-438cca05a146","F1179","2",null,"2015-02-07 19:45:26.016"
"968c59f0-d8c9-1004-8a97-438cca05a146","F1178B","1",null,"2015-02-07 19:45:26.533"
"968c59f0-d8c9-1004-8a97-438cca05a146","F1178B","2",null,"2015-02-07 19:45:26.533"
"968d1da4-d8c9-1004-8a97-438cca05a146","F1177W","1",null,"2015-02-07 19:45:27.091"
"968d1da4-d8c9-1004-8a97-438cca05a146","F1177W","2",null,"2015-02-07 19:45:27.091"
"968de0f4-d8c9-1004-8a97-438cca05a146","F1177B","1",null,"2015-02-07 19:45:27.622"
"968de0f4-d8c9-1004-8a97-438cca05a146","F1177B","2",null,"2015-02-07 19:45:27.622"
"968ed7d4-d8c9-1004-8a97-438cca05a146","F1154","1",null,"2015-02-07 19:45:28.216"
"968ed7d4-d8c9-1004-8a97-438cca05a146","F1154","2",null,"2015-02-07 19:45:28.216"
"968fc61c-d8c9-1004-8a97-438cca05a146","F1153","1",null,"2015-02-07 19:45:28.754"
"968fc61c-d8c9-1004-8a97-438cca05a146","F1153","2",null,"2015-02-07 19:45:28.754"
"9690896c-d8c9-1004-8a97-438cca05a146","F1152W","1",null,"2015-02-07 19:45:29.251"
"9690896c-d8c9-1004-8a97-438cca05a146","F1152W","2",null,"2015-02-07 19:45:29.251"
"96914bf4-d8c9-1004-8a97-438cca05a146","F1152B","1",null,"2015-02-07 19:45:29.781"
"96914bf4-d8c9-1004-8a97-438cca05a146","F1152B","2",null,"2015-02-07 19:45:29.781"
"96920b5c-d8c9-1004-8a97-438cca05a146","F1151S","1",null,"2015-02-07 19:45:30.245"
"96920b5c-d8c9-1004-8a97-438cca05a146","F1151S","2",null,"2015-02-07 19:45:30.245"
"9692cac4-d8c9-1004-8a97-438cca05a146","F1151B","1",null,"2015-02-07 19:45:30.788"
"9692cac4-d8c9-1004-8a97-438cca05a146","F1151B","2",null,"2015-02-07 19:45:30.788"
"96938a2c-d8c9-1004-8a97-438cca05a146","F1150","1",null,"2015-02-07 19:45:31.313"
"96938a2c-d8c9-1004-8a97-438cca05a146","F1150","2",null,"2015-02-07 19:45:31.314"
"9694793c-d8c9-1004-8a97-438cca05a146","F1149","1",null,"2015-02-07 19:45:31.843"
"9694793c-d8c9-1004-8a97-438cca05a146","F1149","2",null,"2015-02-07 19:45:31.843"
"969626ec-d8c9-1004-8a97-438cca05a146","F1147","1",null,"2015-02-07 19:45:32.945"
"969626ec-d8c9-1004-8a97-438cca05a146","F1147","2",null,"2015-02-07 19:45:32.945"
"9697114c-d8c9-1004-8a97-438cca05a146","F1135","1",null,"2015-02-07 19:45:33.583"
"9697114c-d8c9-1004-8a97-438cca05a146","F1135","2",null,"2015-02-07 19:45:33.583"
"9697d49c-d8c9-1004-8a97-438cca05a146","F1134B","1",null,"2015-02-07 19:45:34.055"
"9697d49c-d8c9-1004-8a97-438cca05a146","F1134B","2",null,"2015-02-07 19:45:34.055"
"969897ec-d8c9-1004-8a97-438cca05a146","F1133","1",null,"2015-02-07 19:45:34.597"
"969897ec-d8c9-1004-8a97-438cca05a146","F1133","2",null,"2015-02-07 19:45:34.597"
"969982b0-d8c9-1004-8a97-438cca05a146","F1131B","1",null,"2015-02-07 19:45:35.18"
"969982b0-d8c9-1004-8a97-438cca05a146","F1131B","2",null,"2015-02-07 19:45:35.18"
"969a4600-d8c9-1004-8a97-438cca05a146","F1235","1",null,"2015-02-07 19:45:35.69"
"969a4600-d8c9-1004-8a97-438cca05a146","F1235","2",null,"2015-02-07 19:45:35.69"
"969b3060-d8c9-1004-8a97-438cca05a146","F1221R","1",null,"2015-02-07 19:45:36.231"
"969b3060-d8c9-1004-8a97-438cca05a146","F1221R","2",null,"2015-02-07 19:45:36.231"
"969bcca0-d8c9-1004-8a97-438cca05a146","F1221BL","1",null,"2015-02-07 19:45:36.717"
"969bcca0-d8c9-1004-8a97-438cca05a146","F1221BL","2",null,"2015-02-07 19:45:36.717"
"969cb700-d8c9-1004-8a97-438cca05a146","F1221B","1",null,"2015-02-07 19:45:37.256"
"969cb700-d8c9-1004-8a97-438cca05a146","F1221B","2",null,"2015-02-07 19:45:37.256"
"969d7a50-d8c9-1004-8a97-438cca05a146","F1207","1",null,"2015-02-07 19:45:37.771"
"969d7a50-d8c9-1004-8a97-438cca05a146","F1207","2",null,"2015-02-07 19:45:37.771"
"969e64b0-d8c9-1004-8a97-438cca05a146","F1189","1",null,"2015-02-07 19:45:38.365"
"969e64b0-d8c9-1004-8a97-438cca05a146","F1189","2",null,"2015-02-07 19:45:38.365"
"969f28c8-d8c9-1004-8a97-438cca05a146","F1118B","1",null,"2015-02-07 19:45:38.913"
"969f28c8-d8c9-1004-8a97-438cca05a146","F1118B","2",null,"2015-02-07 19:45:38.913"
"96a01328-d8c9-1004-8a97-438cca05a146","F1116","1",null,"2015-02-07 19:45:39.446"
"96a01328-d8c9-1004-8a97-438cca05a146","F1116","2",null,"2015-02-07 19:45:39.446"
"96a0fd88-d8c9-1004-8a97-438cca05a146","F1075B","1",null,"2015-02-07 19:45:40.102"
"96a0fd88-d8c9-1004-8a97-438cca05a146","F1075B","2",null,"2015-02-07 19:45:40.102"
"96a1c0d8-d8c9-1004-8a97-438cca05a146","F1101W","1",null,"2015-02-07 19:45:40.637"
"96a1c0d8-d8c9-1004-8a97-438cca05a146","F1101W","2",null,"2015-02-07 19:45:40.637"
"96a2ab38-d8c9-1004-8a97-438cca05a146","F1101B","1",null,"2015-02-07 19:45:41.159"
"96a2ab38-d8c9-1004-8a97-438cca05a146","F1101B","2",null,"2015-02-07 19:45:41.159"
"96a36e88-d8c9-1004-8a97-438cca05a146","F991","1",null,"2015-02-07 19:45:41.686"
"96a36e88-d8c9-1004-8a97-438cca05a146","F991","2",null,"2015-02-07 19:45:41.686"
"96a431d8-d8c9-1004-8a97-438cca05a146","F990","1",null,"2015-02-07 19:45:42.181"
"96a431d8-d8c9-1004-8a97-438cca05a146","F990","2",null,"2015-02-07 19:45:42.181"
"96a51c9c-d8c9-1004-8a97-438cca05a146","F989","1",null,"2015-02-07 19:45:42.753"
"96a51c9c-d8c9-1004-8a97-438cca05a146","F989","2",null,"2015-02-07 19:45:42.753"
"96a5dfec-d8c9-1004-8a97-438cca05a146","F988","1",null,"2015-02-07 19:45:43.281"
"96a5dfec-d8c9-1004-8a97-438cca05a146","F988","2",null,"2015-02-07 19:45:43.281"
"96a6a33c-d8c9-1004-8a97-438cca05a146","F987","1",null,"2015-02-07 19:45:43.817"
"96a6a33c-d8c9-1004-8a97-438cca05a146","F987","2",null,"2015-02-07 19:45:43.817"
"96a78d9c-d8c9-1004-8a97-438cca05a146","F986","1",null,"2015-02-07 19:45:44.343"
"96a78d9c-d8c9-1004-8a97-438cca05a146","F986","2",null,"2015-02-07 19:45:44.343"
"96a850ec-d8c9-1004-8a97-438cca05a146","F985","1",null,"2015-02-07 19:45:44.868"
"96a850ec-d8c9-1004-8a97-438cca05a146","F985","2",null,"2015-02-07 19:45:44.868"
"96a9143c-d8c9-1004-8a97-438cca05a146","F984B","1",null,"2015-02-07 19:45:45.361"
"96a9143c-d8c9-1004-8a97-438cca05a146","F984B","2",null,"2015-02-07 19:45:45.361"
"96a9fe9c-d8c9-1004-8a97-438cca05a146","F983B","1",null,"2015-02-07 19:45:46.018"
"96a9fe9c-d8c9-1004-8a97-438cca05a146","F983B","2",null,"2015-02-07 19:45:46.018"
"96aae8fc-d8c9-1004-8a97-438cca05a146","F980B","1",null,"2015-02-07 19:45:46.58"
"96aae8fc-d8c9-1004-8a97-438cca05a146","F980B","2",null,"2015-02-07 19:45:46.58"
"96abd35c-d8c9-1004-8a97-438cca05a146","F899","1",null,"2015-02-07 19:45:47.146"
"96abd35c-d8c9-1004-8a97-438cca05a146","F899","2",null,"2015-02-07 19:45:47.146"
"96ac96ac-d8c9-1004-8a97-438cca05a146","F154R","1",null,"2015-02-07 19:45:47.713"
"96ac96ac-d8c9-1004-8a97-438cca05a146","F154R","2",null,"2015-02-07 19:45:47.713"
"96ada81c-d8c9-1004-8a97-438cca05a146","F923B","1",null,"2015-02-07 19:45:48.346"
"96ada81c-d8c9-1004-8a97-438cca05a146","F923B","2",null,"2015-02-07 19:45:48.346"
"96ae6b6c-d8c9-1004-8a97-438cca05a146","F205","1",null,"2015-02-07 19:45:48.868"
"96ae6b6c-d8c9-1004-8a97-438cca05a146","F205","2",null,"2015-02-07 19:45:48.868"
"96af2ebc-d8c9-1004-8a97-438cca05a146","F153","1",null,"2015-02-07 19:45:49.363"
"96af2ebc-d8c9-1004-8a97-438cca05a146","F153","2",null,"2015-02-07 19:45:49.363"
"96aff20c-d8c9-1004-8a97-438cca05a146","F154","1",null,"2015-02-07 19:45:49.967"
"96aff20c-d8c9-1004-8a97-438cca05a146","F154","2",null,"2015-02-07 19:45:49.967"
"96b1037c-d8c9-1004-8a97-438cca05a146","F137","1",null,"2015-02-07 19:45:50.542"
"96b1037c-d8c9-1004-8a97-438cca05a146","F137","2",null,"2015-02-07 19:45:50.542"
"96b1c730-d8c9-1004-8a97-438cca05a146","F134","1",null,"2015-02-07 19:45:51.108"
"96b1c730-d8c9-1004-8a97-438cca05a146","F134","2",null,"2015-02-07 19:45:51.108"
"96b28a80-d8c9-1004-8a97-438cca05a146","F138","1",null,"2015-02-07 19:45:51.618"
"96b28a80-d8c9-1004-8a97-438cca05a146","F138","2",null,"2015-02-07 19:45:51.618"
"96b374e0-d8c9-1004-8a97-438cca05a146","F139","1",null,"2015-02-07 19:45:52.172"
"96b374e0-d8c9-1004-8a97-438cca05a146","F139","2",null,"2015-02-07 19:45:52.172"
"96b48650-d8c9-1004-8a97-438cca05a146","GAME097","1",null,"2015-02-07 19:45:52.92"
"96b48650-d8c9-1004-8a97-438cca05a146","GAME097","2",null,"2015-02-07 19:45:52.92"
"96b5bed0-d8c9-1004-8a97-438cca05a146","GAME075","1",null,"2015-02-07 19:45:53.635"
"96b5bed0-d8c9-1004-8a97-438cca05a146","GAME075","2",null,"2015-02-07 19:45:53.635"
"96b6a930-d8c9-1004-8a97-438cca05a146","GAME072","1",null,"2015-02-07 19:45:54.241"
"96b6a930-d8c9-1004-8a97-438cca05a146","GAME072","2",null,"2015-02-07 19:45:54.241"
"96b76c80-d8c9-1004-8a97-438cca05a146","GAME060","1",null,"2015-02-07 19:45:54.783"
"96b76c80-d8c9-1004-8a97-438cca05a146","GAME060","2",null,"2015-02-07 19:45:54.783"
"96b82fd0-d8c9-1004-8a97-438cca05a146","GAME044","1",null,"2015-02-07 19:45:55.258"
"96b82fd0-d8c9-1004-8a97-438cca05a146","GAME044","2",null,"2015-02-07 19:45:55.258"
"96b91a30-d8c9-1004-8a97-438cca05a146","Game027","1",null,"2015-02-07 19:45:55.863"
"96b91a30-d8c9-1004-8a97-438cca05a146","Game027","2",null,"2015-02-07 19:45:55.863"
"96b9dd80-d8c9-1004-8a97-438cca05a146","GAME007","1",null,"2015-02-07 19:45:56.377"
"96b9dd80-d8c9-1004-8a97-438cca05a146","GAME007","2",null,"2015-02-07 19:45:56.377"
"96baa0d0-d8c9-1004-8a97-438cca05a146","KH001","1",null,"2015-02-07 19:45:56.895"
"96baa0d0-d8c9-1004-8a97-438cca05a146","KH001","2",null,"2015-02-07 19:45:56.895"
"96bb8b30-d8c9-1004-8a97-438cca05a146","SCPH-10020","1",null,"2015-02-07 19:45:57.511"
"96bb8b30-d8c9-1004-8a97-438cca05a146","SCPH-10020","2",null,"2015-02-07 19:45:57.511"
"96bc4ee4-d8c9-1004-8a97-438cca05a146","F107B","1",null,"2015-02-07 19:45:58.031"
