clistingid,iwebsiteid,csku,istatus,dnewformdate,dnewtodate,bspecial,cvideoaddress,iqty,fprice,fweight,bmultiattribute,cparentsku,bclearstocks,bfeatured,bnew,bhot,bvisible,bpulish,ccreateuser,dcreatedate
966c49bc-d8c9-1004-8a97-438cca05a146,1,F6,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,14.58,194,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
966d0d0c-d8c9-1004-8a97-438cca05a146,1,F3,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,8.1,79,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
966dd05c-d8c9-1004-8a97-438cca05a146,1,F2,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,9.84,80,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
966ebb20-d8c9-1004-8a97-438cca05a146,1,F1,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,3.411,60,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
966fa580-d8c9-1004-8a97-438cca05a146,1,GAME099,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,6.066,160,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
967068d0-d8c9-1004-8a97-438cca05a146,1,GAME089,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,3.726,150,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96712c20-d8c9-1004-8a97-438cca05a146,1,GAME086,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,12.393,220,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96721680-d8c9-1004-8a97-438cca05a146,1,GAME083,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,21.87,240,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96730270-d8c9-1004-8a97-438cca05a146,1,GAME074,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,13.82,196,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9673c5c0-d8c9-1004-8a97-438cca05a146,1,GAME062,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,2.65,50,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9674b084-d8c9-1004-8a97-438cca05a146,1,GAME061,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,3,50,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
967573d4-d8c9-1004-8a97-438cca05a146,1,GAME056,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,10.935,180,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96768544-d8c9-1004-8a97-438cca05a146,1,GAME055,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,20.25,230,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96776fa4-d8c9-1004-8a97-438cca05a146,1,GAME052,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,7.632,142,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96780be4-d8c9-1004-8a97-438cca05a146,1,GAME050,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,7.866,80,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9678f644-d8c9-1004-8a97-438cca05a146,1,GAME049,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,10.935,78,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9679e0a4-d8c9-1004-8a97-438cca05a146,1,GAME048,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,10.8,86,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
967aa5e8-d8c9-1004-8a97-438cca05a146,1,GAME047,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,14.58,66,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
967b6938-d8c9-1004-8a97-438cca05a146,1,GAME046,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,3.86,100,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
967c2c88-d8c9-1004-8a97-438cca05a146,1,GAME045,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,4.374,90,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
967d16e8-d8c9-1004-8a97-438cca05a146,1,GAME036,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,7.254,270,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
967e0148-d8c9-1004-8a97-438cca05a146,1,GAME037,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,2.367,30,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
967ec498-d8c9-1004-8a97-438cca05a146,1,GAME035,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,7.27,280,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
967faef8-d8c9-1004-8a97-438cca05a146,1,GAME033,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,14.625,300,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9680c0cc-d8c9-1004-8a97-438cca05a146,1,MSP02-s,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,3.43,70,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9681841c-d8c9-1004-8a97-438cca05a146,1,GAME030,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,3.285,55,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9682476c-d8c9-1004-8a97-438cca05a146,1,GAME028,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,27.945,280,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96830abc-d8c9-1004-8a97-438cca05a146,1,GAME026,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,2.628,130,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9683f51c-d8c9-1004-8a97-438cca05a146,1,GAME022,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,5.103,140,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9684b86c-d8c9-1004-8a97-438cca05a146,1,GAME021,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,1.935,80,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96857bbc-d8c9-1004-8a97-438cca05a146,1,GAME019,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,1.34,110,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96863f0c-d8c9-1004-8a97-438cca05a146,1,GAME018,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,1.96,30,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
968729d0-d8c9-1004-8a97-438cca05a146,1,GAME016,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,5.103,160,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9687ed20-d8c9-1004-8a97-438cca05a146,1,GAME006,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,4.581,120,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9688d780-d8c9-1004-8a97-438cca05a146,1,KH002,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,4.44,130,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96899ad0-d8c9-1004-8a97-438cca05a146,1,PSP-BP01,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,5,90,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
968a8530-d8c9-1004-8a97-438cca05a146,1,F1178W,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,8.46,150,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
968b96a0-d8c9-1004-8a97-438cca05a146,1,F1179,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,13.66,278,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
968c59f0-d8c9-1004-8a97-438cca05a146,1,F1178B,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,6.147,118.01,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
968d1da4-d8c9-1004-8a97-438cca05a146,1,F1177W,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,10.33,146.01,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
968de0f4-d8c9-1004-8a97-438cca05a146,1,F1177B,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,10.48,146,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
968ed7d4-d8c9-1004-8a97-438cca05a146,1,F1154,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,9.83,190,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
968fc61c-d8c9-1004-8a97-438cca05a146,1,F1153,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,8.86,171,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9690896c-d8c9-1004-8a97-438cca05a146,1,F1152W,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,391.49,1000,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96914bf4-d8c9-1004-8a97-438cca05a146,1,F1152B,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,352.341,1000,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96920b5c-d8c9-1004-8a97-438cca05a146,1,F1151S,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,3.393,20,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9692cac4-d8c9-1004-8a97-438cca05a146,1,F1151B,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,4.41,20,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96938a2c-d8c9-1004-8a97-438cca05a146,1,F1150,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,3.384,38,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9694793c-d8c9-1004-8a97-438cca05a146,1,F1149,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,8.406,190,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
969626ec-d8c9-1004-8a97-438cca05a146,1,F1147,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,4.824,90,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9697114c-d8c9-1004-8a97-438cca05a146,1,F1135,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,3.43,66,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9697d49c-d8c9-1004-8a97-438cca05a146,1,F1134B,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,5.82,120,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
969897ec-d8c9-1004-8a97-438cca05a146,1,F1133,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,3.04,59,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
969982b0-d8c9-1004-8a97-438cca05a146,1,F1131B,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,1.49,16,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
969a4600-d8c9-1004-8a97-438cca05a146,1,F1235,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,11.736,120,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
969b3060-d8c9-1004-8a97-438cca05a146,1,F1221R,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,6.732,142,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
969bcca0-d8c9-1004-8a97-438cca05a146,1,F1221BL,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,7.29,149,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
969cb700-d8c9-1004-8a97-438cca05a146,1,F1221B,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,7.614,125,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
969d7a50-d8c9-1004-8a97-438cca05a146,1,F1207,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,56.89,180,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
969e64b0-d8c9-1004-8a97-438cca05a146,1,F1189,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,91.3004,430,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
969f28c8-d8c9-1004-8a97-438cca05a146,1,F1118B,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,10.224,225,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96a01328-d8c9-1004-8a97-438cca05a146,1,F1116,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,11.64,350,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96a0fd88-d8c9-1004-8a97-438cca05a146,1,F1075B,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,39.6698,600,f,null,t,null,f,null,t,t,null,2014-12-03 00:00:00
96a1c0d8-d8c9-1004-8a97-438cca05a146,1,F1101W,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,26.37,346,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96a2ab38-d8c9-1004-8a97-438cca05a146,1,F1101B,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,26.13,351,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96a36e88-d8c9-1004-8a97-438cca05a146,1,F991,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,3.438,58,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96a431d8-d8c9-1004-8a97-438cca05a146,1,F990,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,21.8579,350,f,null,t,null,f,null,t,t,null,2014-12-03 00:00:00
96a51c9c-d8c9-1004-8a97-438cca05a146,1,F989,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,17.98,285,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96a5dfec-d8c9-1004-8a97-438cca05a146,1,F988,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,5.39,86,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96a6a33c-d8c9-1004-8a97-438cca05a146,1,F987,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,3.942,108,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96a78d9c-d8c9-1004-8a97-438cca05a146,1,F986,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,11.27,160,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96a850ec-d8c9-1004-8a97-438cca05a146,1,F985,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,7.2779,120,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96a9143c-d8c9-1004-8a97-438cca05a146,1,F984B,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,7.92,185,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
