iid,iwebsiteid,icategoryid,iparentid,cpath,ilevel,bshow,bhasbgimage
1387,1,1387,1385,Car-Accessories/Car-Safety-Security/Air-Bags-Parts,3,f,t
94,1,94,84,Sports-Outdoor/Fishing/Fishing-Bags,3,t,t
96,1,96,84,Sports-Outdoor/Fishing/Tools-Equipment,3,t,t
1433,1,1433,1362,Car-Accessories/Car-Computer-Chip-Cruise-Control-,2,f,t
1453,1,1453,1451,Car-Accessories/Car-Electric-Vehicle-Parts/Chargers-Service-Equipment,3,f,t
1389,1,1389,1385,Car-Accessories/Car-Safety-Security/Car-Alarms,3,f,t
1391,1,1391,1385,Car-Accessories/Car-Safety-Security/Keyless-Entry-Remote-Fob,3,t,t
1393,1,1393,1385,Car-Accessories/Car-Safety-Security/Seat-Belts-Parts,3,f,t
1411,1,1411,1409,Car-Accessories/Car-Brakes/Brake-Hoses,3,f,t
1413,1,1413,1409,Car-Accessories/Car-Brakes/Caliper-Parts,3,f,t
1415,1,1415,1409,Car-Accessories/Car-Brakes/Drums-Hardware,3,f,t
1416,1,1416,1409,Car-Accessories/Car-Brakes/Master-Cylinders-Parts,3,f,t
1417,1,1417,1409,Car-Accessories/Car-Brakes/Pads-Shoes,3,f,t
1418,1,1418,1409,Car-Accessories/Car-Brakes/Parking-Brake-Cables,3,f,t
1419,1,1419,1409,Car-Accessories/Car-Brakes/Sensors-Switches,3,f,t
1420,1,1420,1409,Car-Accessories/Car-Brakes/Trailer-Brakes,3,f,t
1421,1,1421,1409,Car-Accessories/Car-Brakes/Wheel-Cylinders-Parts,3,f,t
1422,1,1422,1409,Car-Accessories/Car-Brakes/Other,3,f,t
1427,1,1427,1423,Car-Accessories/Car-Charging-Starting-Systems/Battery-Cables-Connectors,3,t,t
1429,1,1429,1423,Car-Accessories/Car-Charging-Starting-Systems/Starters,3,f,t
1431,1,1431,1423,Car-Accessories/Car-Charging-Starting-Systems/Voltage-Regulators,3,f,t
1435,1,1435,1433,Car-Accessories/Car-Computer-Chip-Cruise-Control-/Engine-Computers,3,f,t
1437,1,1437,1433,Car-Accessories/Car-Computer-Chip-Cruise-Control-/Other,3,f,t
1439,1,1439,1438,Car-Accessories/Car-Cooling-System/Fans-Kits,3,f,t
1441,1,1441,1438,Car-Accessories/Car-Cooling-System/Oil-Coolers,3,t,t
1443,1,1443,1438,Car-Accessories/Car-Cooling-System/Thermostats-Parts,3,f,t
1445,1,1445,1438,Car-Accessories/Car-Cooling-System/Other,3,f,t
1447,1,1447,1446,Car-Accessories/Car-Decals-Emblems-License-Frames-/Decals-Stickers,3,t,t
1451,1,1451,1362,Car-Accessories/Car-Electric-Vehicle-Parts,2,f,t
1455,1,1455,1451,Car-Accessories/Car-Electric-Vehicle-Parts/Converters-Inverters,3,t,t
1457,1,1457,1451,Car-Accessories/Car-Electric-Vehicle-Parts/Electric-Vehicle-Batteries,3,f,t
1459,1,1459,1451,Car-Accessories/Car-Electric-Vehicle-Parts/Other,3,f,t
1461,1,1461,1460,Car-Accessories/Car-Emission-System/Air-Bypass-Valves,3,f,t
1463,1,1463,1460,Car-Accessories/Car-Emission-System/Emissions-Modules-Control-Units-,3,f,t
1465,1,1465,1460,Car-Accessories/Car-Emission-System/Other,3,f,t
1467,1,1467,1466,Car-Accessories/Car-Engines-Components/Belts-Pulleys-Brackets-,3,f,t
1469,1,1469,1466,Car-Accessories/Car-Engines-Components/Camshafts-Lifters-Parts-,3,f,t
1471,1,1471,1466,Car-Accessories/Car-Engines-Components/Crankshafts-Parts,3,f,t
1473,1,1473,1466,Car-Accessories/Car-Engines-Components/Engine-Bearings,3,f,t
1475,1,1475,1466,Car-Accessories/Car-Engines-Components/Motor-Mounts,3,f,t
1477,1,1477,1466,Car-Accessories/Car-Engines-Components/Oil-Pans,3,f,t
1479,1,1479,1466,Car-Accessories/Car-Engines-Components/Pistons-Rings-Rods-Parts-,3,f,t
1481,1,1481,1466,Car-Accessories/Car-Engines-Components/Timing-Components,3,f,t
1397,1,1397,1395,Car-Accessories/Car-Air-Intake-Fuel-Delivery/Air-Intake-Systems,3,f,t
1399,1,1399,1395,Car-Accessories/Car-Air-Intake-Fuel-Delivery/Carburetor-Parts,3,f,t
1401,1,1401,1395,Car-Accessories/Car-Air-Intake-Fuel-Delivery/Fuel-Inject-Controls-Parts-,3,t,t
1403,1,1403,1395,Car-Accessories/Car-Air-Intake-Fuel-Delivery/Fuel-Pumps,3,t,t
1405,1,1405,1395,Car-Accessories/Car-Air-Intake-Fuel-Delivery/Intake-Manifold,3,f,t
1407,1,1407,1395,Car-Accessories/Car-Air-Intake-Fuel-Delivery/Throttle-Body,3,t,t
86,1,86,84,Sports-Outdoor/Fishing/Fishing-Reels,3,t,t
1012,1,1012,1011,Apparel-Jewelry/Jewelry-Supplies/Jewelry-Scale,3,f,t
482,1,482,468,Musical-Instruments/Strings,2,t,t
492,1,492,468,Musical-Instruments/Woodwinds,2,t,t
1497,1,1497,1496,Car-Accessories/Car-Exterior/Air-Dams,3,f,t
225,1,225,222,Computer-Networking/Keyboards-Mice-Input/Barcode-Scanners,3,t,t
493,1,493,492,Musical-Instruments/Woodwinds/Saxophones-Accessories,3,t,t
495,1,495,492,Musical-Instruments/Woodwinds/Flutes-Piccolos-Accessories,3,t,t
497,1,497,492,Musical-Instruments/Woodwinds/Ocarinas-Accessories,3,t,t
487,1,487,482,Musical-Instruments/Strings/Electric-Bass,3,f,t
489,1,489,482,Musical-Instruments/Strings/Violins,3,f,t
491,1,491,482,Musical-Instruments/Strings/Parts-Accessories,3,f,t
1438,1,1438,1362,Car-Accessories/Car-Cooling-System,2,t,t
1452,1,1452,1451,Car-Accessories/Car-Electric-Vehicle-Parts/Accessories,3,f,t
1462,1,1462,1460,Car-Accessories/Car-Emission-System/EGR-Valves-PartsEGR,3,f,t
1468,1,1468,1466,Car-Accessories/Car-Engines-Components/Block-Parts,3,f,t
1487,1,1487,1486,Car-Accessories/Car-Exhaust/Catalytic-Converters,3,f,t
1426,1,1426,1423,Car-Accessories/Car-Charging-Starting-Systems/Batteries,3,f,t
1428,1,1428,1423,Car-Accessories/Car-Charging-Starting-Systems/Battery-Trays,3,f,t
1432,1,1432,1423,Car-Accessories/Car-Charging-Starting-Systems/Other,3,t,t
1434,1,1434,1433,Car-Accessories/Car-Computer-Chip-Cruise-Control-/Cruise-Control-Units,3,f,t
1440,1,1440,1438,Car-Accessories/Car-Cooling-System/Hoses-Clamps,3,f,t
1442,1,1442,1438,Car-Accessories/Car-Cooling-System/Radiators-Parts,3,t,t
1444,1,1444,1438,Car-Accessories/Car-Cooling-System/Water-Pumps,3,f,t
1446,1,1446,1362,Car-Accessories/Car-Decals-Emblems-License-Frames-,2,t,t
1448,1,1448,1446,Car-Accessories/Car-Decals-Emblems-License-Frames-/Emblems,3,f,t
1458,1,1458,1451,Car-Accessories/Car-Electric-Vehicle-Parts/Motors,3,f,t
1464,1,1464,1460,Car-Accessories/Car-Emission-System/Smog-Air-Pumps,3,f,t
1466,1,1466,1362,Car-Accessories/Car-Engines-Components,2,f,t
1470,1,1470,1466,Car-Accessories/Car-Engines-Components/Complete-Engines,3,f,t
1472,1,1472,1466,Car-Accessories/Car-Engines-Components/Cylinder-Heads-Parts,3,f,t
1474,1,1474,1466,Car-Accessories/Car-Engines-Components/Engine-Rebuilding-Kits,3,f,t
1476,1,1476,1466,Car-Accessories/Car-Engines-Components/Oil-Filler-Caps,3,f,t
1478,1,1478,1466,Car-Accessories/Car-Engines-Components/Oil-Pumps,3,f,t
1480,1,1480,1466,Car-Accessories/Car-Engines-Components/Rocker-Arms-Parts,3,f,t
1482,1,1482,1466,Car-Accessories/Car-Engines-Components/Vacuum-Pumps,3,f,t
1483,1,1483,1466,Car-Accessories/Car-Engines-Components/Valve-Covers,3,f,t
1484,1,1484,1466,Car-Accessories/Car-Engines-Components/Valves-Parts,3,f,t
1485,1,1485,1466,Car-Accessories/Car-Engines-Components/Other,3,t,t
1486,1,1486,1362,Car-Accessories/Car-Exhaust,2,f,t
1488,1,1488,1486,Car-Accessories/Car-Exhaust/Exhaust-Headers,3,f,t
1489,1,1489,1486,Car-Accessories/Car-Exhaust/Exhaust-Manifolds,3,f,t
1490,1,1490,1486,Car-Accessories/Car-Exhaust/Exhaust-Pipes-Tips,3,t,t
1491,1,1491,1486,Car-Accessories/Car-Exhaust/Exhaust-Systems,3,f,t
1492,1,1492,1486,Car-Accessories/Car-Exhaust/Hangers-Clamps-Flanges-,3,f,t
1493,1,1493,1486,Car-Accessories/Car-Exhaust/Heat-Risers,3,f,t
1494,1,1494,1486,Car-Accessories/Car-Exhaust/Mufflers,3,f,t
1495,1,1495,1486,Car-Accessories/Car-Exhaust/Other,3,f,t
1496,1,1496,1362,Car-Accessories/Car-Exterior,2,t,t
1498,1,1498,1496,Car-Accessories/Car-Exterior/Antennas,3,t,t
1500,1,1500,1496,Car-Accessories/Car-Exterior/Bras,3,f,t
1504,1,1504,1496,Car-Accessories/Car-Exterior/Door-Hinge-Conversion-KitsDoor-Hinge-Conversion-Kits,3,f,t
1502,1,1502,1496,Car-Accessories/Car-Exterior/Bumpers,3,f,t
1506,1,1506,1496,Car-Accessories/Car-Exterior/Exterior-Door-Handles,3,f,t
1508,1,1508,1496,Car-Accessories/Car-Exterior/Grilles,3,t,t
1510,1,1510,1496,Car-Accessories/Car-Exterior/Locks-Hardware,3,f,t
1512,1,1512,1496,Car-Accessories/Car-Exterior/Mouldings-TrimTrim,3,t,t
1514,1,1514,1496,Car-Accessories/Car-Exterior/Racks,3,f,t
1516,1,1516,1496,Car-Accessories/Car-Exterior/Splash-Guards-Mud-Flaps,3,f,t
1518,1,1518,1496,Car-Accessories/Car-Exterior/Sunroof-Convertible-Hardtop-,3,f,t
1520,1,1520,1496,Car-Accessories/Car-Exterior/Towing-Hauling,3,t,t
1430,1,1430,1423,Car-Accessories/Car-Charging-Starting-Systems/Starters-Parts,3,f,t
1450,1,1450,1446,Car-Accessories/Car-Decals-Emblems-License-Frames-/Other,3,f,t
1454,1,1454,1451,Car-Accessories/Car-Electric-Vehicle-Parts/Controllers,3,f,t
1456,1,1456,1451,Car-Accessories/Car-Electric-Vehicle-Parts/Conversion-Kits,3,f,t
1460,1,1460,1362,Car-Accessories/Car-Emission-System,2,f,t
1499,1,1499,1496,Car-Accessories/Car-Exterior/Body-Kits,3,f,t
1501,1,1501,1496,Car-Accessories/Car-Exterior/Bug-Shields,3,f,t
524,1,524,521,Musical-Instruments/Pro-Audio-Equipment/Speakers-Bullhorns,3,f,t
349,1,349,347,Cameras-Photo-Accessories/GOPRO-Accessories/Wearing-Accessories,3,t,t
353,1,353,347,Cameras-Photo-Accessories/GOPRO-Accessories/Others,3,f,t
1149,1,1149,1145,RC-Models-Hobbies/SYMA/Syma-Helicopter-Parts,3,f,t
498,1,498,492,Musical-Instruments/Woodwinds/Parts-Accessories,3,t,t
351,1,351,347,Cameras-Photo-Accessories/GOPRO-Accessories/Waterproof-Protecting-Accessories,3,f,t
1181,1,1181,1180,RC-Models-Hobbies/FPV-system/Image-Transmission,3,t,t
355,1,355,354,Lighting-Flashlights-LEDs/LED-Lighting,2,t,t
382,1,382,354,Lighting-Flashlights-LEDs/Flashlights,2,t,t
1255,1,1255,1254,Toys-Games/Dolls-Stuffed-Toys/Doll-Houses,3,f,t
1379,1,1379,1371,Car-Accessories/Car-Lighting-Lamps/Neon-Lights,3,f,t
1371,1,1371,1362,Car-Accessories/Car-Lighting-Lamps,2,t,t
226,1,226,222,Computer-Networking/Keyboards-Mice-Input/Other,3,f,t
500,1,500,499,Musical-Instruments/Brass/Trumpets-Accessories,3,t,t
357,1,357,355,Lighting-Flashlights-LEDs/LED-Lighting/LED-Downlights,3,t,t
1079,1,1079,1078,Home-and-Garden/Home-Electronics/Vacuums-Floor-Care,3,f,t
490,1,490,482,Musical-Instruments/Strings/Violas-Cellos,3,f,t
488,1,488,482,Musical-Instruments/Strings/Violin-Accessories,3,t,t
486,1,486,482,Musical-Instruments/Strings/Ukuleles,3,f,t
390,1,390,382,Lighting-Flashlights-LEDs/Flashlights/Flashlight-Accessories,3,t,t
1363,1,1363,1362,Car-Accessories/Car-Air-Conditioning-Heat,2,t,t
1021,1,1021,1020,Home-and-Garden/Lifestyle-Gadgest/Housekeeping-Organization,3,t,t
469,1,469,468,Musical-Instruments/Brands,2,t,t
818,1,818,806,Health-Beauty/Wig-Accessories,2,t,t
463,1,463,460,Lighting-Flashlights-LEDs/Other-LED-Lighting/Gun-Lasers/Blue-Laser,4,t,t
1385,1,1385,1362,Car-Accessories/Car-Safety-Security,2,f,t
1621,1,1621,1362,Car-Accessories/Car-Turbos-Nitrous-Superchargers-,2,t,t
1532,1,1532,1362,Car-Accessories/Car-Gaskets,2,f,t
1603,1,1603,1591,Car-Accessories/Car-Suspension-Steering/Strut-Bars,3,f,t
947,1,947,935,Apparel-Jewelry/Boys-Clothing/Suits-Blazers,3,f,t
1365,1,1365,1363,Car-Accessories/Car-Air-Conditioning-Heat/A-C-Hoses-Fittings,3,f,t
1367,1,1367,1363,Car-Accessories/Car-Air-Conditioning-Heat/Blower-Motors,3,f,t
975,1,975,971,Apparel-Jewelry/Bags/Women-s-Bags/Cluches-Bags,4,f,t
1369,1,1369,1363,Car-Accessories/Car-Air-Conditioning-Heat/Heater-Parts,3,f,t
1373,1,1373,1371,Car-Accessories/Car-Lighting-Lamps/Fog-Driving-Lights,3,f,t
1377,1,1377,1371,Car-Accessories/Car-Lighting-Lamps/Interior-Lights,3,t,t
1381,1,1381,1371,Car-Accessories/Car-Lighting-Lamps/Tail-Lights,3,f,t
1383,1,1383,1371,Car-Accessories/Car-Lighting-Lamps/Xenon-Lights,3,t,t
1540,1,1540,1539,Car-Accessories/Car-Gauges/Boost-Gauges,3,t,t
1527,1,1527,1526,Car-Accessories/Car-Filters/Air-Filters,3,f,t
1546,1,1546,1539,Car-Accessories/Car-Gauges/Oil-Pressure-Gauges,3,t,t
1503,1,1503,1496,Car-Accessories/Car-Exterior/Car-Covers,3,t,t
998,1,998,983,Apparel-Jewelry/Watches/Watch-Accessories,3,f,t
1517,1,1517,1496,Car-Accessories/Car-Exterior/Spoilers-Wings,3,f,t
1513,1,1513,1496,Car-Accessories/Car-Exterior/Nerf-Bars-Running-Boards,3,f,t
1515,1,1515,1496,Car-Accessories/Car-Exterior/Snow-Plows-Parts,3,f,t
1507,1,1507,1496,Car-Accessories/Car-Exterior/Fenders,3,f,t
1519,1,1519,1496,Car-Accessories/Car-Exterior/Tailgates-LiftgatesLiftgates,3,f,t
1521,1,1521,1496,Car-Accessories/Car-Exterior/Truck-Bed-Accessories,3,f,t
1522,1,1522,1496,Car-Accessories/Car-Exterior/Trunk-Lids-Parts,3,f,t
1523,1,1523,1496,Car-Accessories/Car-Exterior/Windshield-Wiper-Blades,3,f,t
1524,1,1524,1496,Car-Accessories/Car-Exterior/Windshield-Wiper-Systems,3,t,t
1525,1,1525,1496,Car-Accessories/Car-Exterior/Other,3,f,t
1526,1,1526,1362,Car-Accessories/Car-Filters,2,t,t
1528,1,1528,1526,Car-Accessories/Car-Filters/Fuel-Filters,3,t,t
1530,1,1530,1526,Car-Accessories/Car-Filters/Transmission-Filters,3,f,t
1529,1,1529,1526,Car-Accessories/Car-Filters/Oil-Filters,3,f,t
1531,1,1531,1526,Car-Accessories/Car-Filters/Other,3,f,t
1534,1,1534,1532,Car-Accessories/Car-Gaskets/Exhaust-Gaskets,3,f,t
1536,1,1536,1532,Car-Accessories/Car-Gaskets/Intake-Gaskets,3,f,t
1538,1,1538,1532,Car-Accessories/Car-Gaskets/Other,3,f,t
1395,1,1395,1362,Car-Accessories/Car-Air-Intake-Fuel-Delivery,2,t,t
858,1,858,856,Health-Beauty/Tattoos-Body-Art/Tattoo-Power-Supplies,3,t,t
1584,1,1584,1569,Car-Accessories/Car-Interior/Steering-Wheels-Horns,3,t,t
1544,1,1544,1539,Car-Accessories/Car-Gauges/Glow-Gauges,3,f,t
1509,1,1509,1496,Car-Accessories/Car-Exterior/Hoods,3,f,t
1511,1,1511,1496,Car-Accessories/Car-Exterior/Mirrors,3,f,t
1013,1,1013,1011,Apparel-Jewelry/Jewelry-Supplies/Jewellery-Boxes-Cases,3,f,t
1301,1,1301,1289,Toys-Games/Video-Games/Accessories-for-Xbox-One,3,f,t
1378,1,1378,1371,Car-Accessories/Car-Lighting-Lamps/LED-LightsLED,3,t,t
1539,1,1539,1362,Car-Accessories/Car-Gauges,2,t,t
1698,1,1698,1691,Car-Accessories/Other-Vehicle-Parts/Other,3,f,t
1080,1,1080,1078,Home-and-Garden/Home-Electronics/Air-Purifier,3,t,t
1535,1,1535,1532,Car-Accessories/Car-Gaskets/Full-Set-Gaskets,3,f,t
1554,1,1554,1362,Car-Accessories/Car-Glass,2,f,t
1591,1,1591,1362,Car-Accessories/Car-Suspension-Steering,2,f,t
1607,1,1607,1362,Car-Accessories/Car-Transmission-Drivetrain,2,f,t
1364,1,1364,1363,Car-Accessories/Car-Air-Conditioning-Heat/A-C-Compressor-Clutch,3,f,t
1366,1,1366,1363,Car-Accessories/Car-Air-Conditioning-Heat/A-C-Heater-Controls,3,f,t
1368,1,1368,1363,Car-Accessories/Car-Air-Conditioning-Heat/Condensers-Evaporators,3,f,t
1370,1,1370,1363,Car-Accessories/Car-Air-Conditioning-Heat/Other,3,t,t
1372,1,1372,1371,Car-Accessories/Car-Lighting-Lamps/Corner-Lights,3,f,t
1374,1,1374,1371,Car-Accessories/Car-Lighting-Lamps/Headlight-Tail-Light-Covers,3,f,t
1376,1,1376,1371,Car-Accessories/Car-Lighting-Lamps/Instrument-Panel-Lights,3,f,t
1380,1,1380,1371,Car-Accessories/Car-Lighting-Lamps/Side-Marker-Lights,3,f,t
1382,1,1382,1371,Car-Accessories/Car-Lighting-Lamps/Turn-Signals,3,f,t
1386,1,1386,1385,Car-Accessories/Car-Safety-Security/Air-Bags,3,f,t
1388,1,1388,1385,Car-Accessories/Car-Safety-Security/Anti-Theft-Devices,3,f,t
1545,1,1545,1539,Car-Accessories/Car-Gauges/Instrument-Clusters,3,f,t
1543,1,1543,1539,Car-Accessories/Car-Gauges/Gauge-Trim,3,f,t
1550,1,1550,1539,Car-Accessories/Car-Gauges/Vacuum-Gauges,3,t,t
1547,1,1547,1539,Car-Accessories/Car-Gauges/Panel-Gauges,3,f,t
1548,1,1548,1539,Car-Accessories/Car-Gauges/Speedometers,3,t,t
1553,1,1553,1539,Car-Accessories/Car-Gauges/Other,3,t,t
1551,1,1551,1539,Car-Accessories/Car-Gauges/Volt-Meters,3,t,t
1552,1,1552,1539,Car-Accessories/Car-Gauges/Water-Temp-Gauges,3,t,t
1533,1,1533,1532,Car-Accessories/Car-Gaskets/Cyl-Head-Valve-Cover-GasketCYL-,3,f,t
996,1,996,983,Apparel-Jewelry/Watches/Bracelet-Ring-Watches,3,t,t
1537,1,1537,1532,Car-Accessories/Car-Gaskets/Oil-Pan-Gaskets,3,f,t
1555,1,1555,1554,Car-Accessories/Car-Glass/Auto-Glass,3,f,t
1556,1,1556,1554,Car-Accessories/Car-Glass/Auto-Seals,3,f,t
1557,1,1557,1554,Car-Accessories/Car-Glass/Window-Tint,3,f,t
1558,1,1558,1554,Car-Accessories/Car-Glass/Windshields,3,f,t
1559,1,1559,1554,Car-Accessories/Car-Glass/Other,3,f,t
1561,1,1561,1560,Car-Accessories/Car-Ignition-System/Caps-Rotors-Contacts-,3,f,t
1562,1,1562,1560,Car-Accessories/Car-Ignition-System/Coils-Modules-Pick-Ups-,3,f,t
1563,1,1563,1560,Car-Accessories/Car-Ignition-System/Distributors-Parts,3,f,t
1564,1,1564,1560,Car-Accessories/Car-Ignition-System/Electronic-Ignition,3,f,t
1565,1,1565,1560,Car-Accessories/Car-Ignition-System/Ignition-Wires,3,t,t
1567,1,1567,1560,Car-Accessories/Car-Ignition-System/Spark-Plugs-Glow-Plugs,3,f,t
1593,1,1593,1591,Car-Accessories/Car-Suspension-Steering/Caster-Camber-Kits,3,f,t
1595,1,1595,1591,Car-Accessories/Car-Suspension-Steering/Control-Arms-Parts,3,f,t
1597,1,1597,1591,Car-Accessories/Car-Suspension-Steering/Lift-Kits-Parts,3,f,t
1599,1,1599,1591,Car-Accessories/Car-Suspension-Steering/Pitman-Idler-Arms,3,f,t
1601,1,1601,1591,Car-Accessories/Car-Suspension-Steering/Steering-Racks-Gear-Boxes,3,f,t
1605,1,1605,1591,Car-Accessories/Car-Suspension-Steering/Tie-Rod-Linkages,3,f,t
1609,1,1609,1607,Car-Accessories/Car-Transmission-Drivetrain/Axle-Parts,3,f,t
1611,1,1611,1607,Car-Accessories/Car-Transmission-Drivetrain/Clutches-Parts,3,f,t
1613,1,1613,1607,Car-Accessories/Car-Transmission-Drivetrain/Flywheels-Flexplates-Parts-Flexplates,3,f,t
1615,1,1615,1607,Car-Accessories/Car-Transmission-Drivetrain/Pressure-Plates,3,f,t
