"iid","iwebsiteid","icategoryid","iparentid","cpath","ilevel","iposition","ichildrencount"
"106","1","106","99","Sports-Outdoor/Sports-Body-Building-/Extreme-Sports","3",null,null
"107","1","107","99","Sports-Outdoor/Sports-Body-Building-/Others","3",null,null
"108","1","108","99","Sports-Outdoor/Sports-Body-Building-/Shinguards","3",null,null
"109","1","109","99","Sports-Outdoor/Sports-Body-Building-/Fitness-Bags","3",null,null
"110","1","110","99","Sports-Outdoor/Sports-Body-Building-/Sweaters","3",null,null
"111","1","111","99","Sports-Outdoor/Sports-Body-Building-/Undergarment","3",null,null
"112","1","112","99","Sports-Outdoor/Sports-Body-Building-/Gym-Strips","3",null,null
"113","1","113","99","Sports-Outdoor/Sports-Body-Building-/Fitness-Gloves","3",null,null
"114","1","114","99","Sports-Outdoor/Sports-Body-Building-/Rope-Skipping","3",null,null
"115","1","115","99","Sports-Outdoor/Sports-Body-Building-/Wrist-Developers","3",null,null
"116","1","116","99","Sports-Outdoor/Sports-Body-Building-/Amusement-Parks","3",null,null
"117","1","117","99","Sports-Outdoor/Sports-Body-Building-/Kites","3",null,null
"118","1","118","50","Sports-Outdoor/Beach-Sports","2",null,null
"119","1","119","118","Sports-Outdoor/Beach-Sports/Sunglasses","3",null,null
"120","1","120","118","Sports-Outdoor/Beach-Sports/Swimming-Goggles","3",null,null
"121","1","121","118","Sports-Outdoor/Beach-Sports/Diving","3",null,null
"122","1","122","118","Sports-Outdoor/Beach-Sports/Swimwear","3",null,null
"123","1","123","118","Sports-Outdoor/Beach-Sports/Diving-Mask-Snorkels-","3",null,null
"124","1","124","118","Sports-Outdoor/Beach-Sports/Surfing-Boating","3",null,null
"125","1","125","118","Sports-Outdoor/Beach-Sports/Swimming-Caps","3",null,null
"126","1","126","50","Sports-Outdoor/Winter-Sports","2",null,null
"127","1","127","126","Sports-Outdoor/Winter-Sports/Ski-Helmets","3",null,null
"128","1","128","126","Sports-Outdoor/Winter-Sports/Ski-Goggles","3",null,null
"129","1","129","126","Sports-Outdoor/Winter-Sports/Gloves","3",null,null
"130","1","130","126","Sports-Outdoor/Winter-Sports/Hats-Scarfs","3",null,null
"131","1","131","126","Sports-Outdoor/Winter-Sports/Skiing-Gears","3",null,null
"132","1","132","126","Sports-Outdoor/Winter-Sports/Crampons","3",null,null
"133","1","133","50","Sports-Outdoor/Ball-Games","2",null,null
"134","1","134","133","Sports-Outdoor/Ball-Games/Tennis-Others","3",null,null
"135","1","135","133","Sports-Outdoor/Ball-Games/Badminton-Others","3",null,null
"136","1","136","133","Sports-Outdoor/Ball-Games/Table-Tennis-Others","3",null,null
"137","1","137","133","Sports-Outdoor/Ball-Games/Volleyball-Others","3",null,null
"138","1","138","133","Sports-Outdoor/Ball-Games/Basketball-Others","3",null,null
"139","1","139","133","Sports-Outdoor/Ball-Games/Football-Others","3",null,null
"140","1","140","50","Sports-Outdoor/Travel-Accessories","2",null,null
"141","1","141","140","Sports-Outdoor/Travel-Accessories/Storage-Containers","3",null,null
"142","1","142","140","Sports-Outdoor/Travel-Accessories/OthersTravel-Accessories","3",null,null
"143","1","143","50","Sports-Outdoor/Others","2",null,null
"144","1","144",null,"Test-Equipment-Tools","1",null,null
"145","1","145","144","Test-Equipment-Tools/UNI-T","2",null,null
"146","1","146","145","Test-Equipment-Tools/UNI-T/Digital-Multimeters","3",null,null
"147","1","147","145","Test-Equipment-Tools/UNI-T/Clamp-Meters","3",null,null
"148","1","148","145","Test-Equipment-Tools/UNI-T/Environmental-Testers","3",null,null
"149","1","149","145","Test-Equipment-Tools/UNI-T/Others","3",null,null
"150","1","150","144","Test-Equipment-Tools/MASTECH","2",null,null
"151","1","151","150","Test-Equipment-Tools/MASTECH/Digital-Multimeters","3",null,null
"152","1","152","150","Test-Equipment-Tools/MASTECH/Clamp-Meters","3",null,null
"153","1","153","150","Test-Equipment-Tools/MASTECH/Environmental-Testers","3",null,null
"154","1","154","150","Test-Equipment-Tools/MASTECH/Others","3",null,null
"155","1","155","144","Test-Equipment-Tools/Electrotechnical-Measurement-Instrument","2",null,null
"156","1","156","155","Test-Equipment-Tools/Electrotechnical-Measurement-Instrument/Digital-Multimeters","3",null,null
"157","1","157","155","Test-Equipment-Tools/Electrotechnical-Measurement-Instrument/Clamp-Meters","3",null,null
"158","1","158","155","Test-Equipment-Tools/Electrotechnical-Measurement-Instrument/Instrument-for-Exclusive-Use","3",null,null
"159","1","159","155","Test-Equipment-Tools/Electrotechnical-Measurement-Instrument/Others","3",null,null
"160","1","160","144","Test-Equipment-Tools/Environal-Measurement-Instruments","2",null,null
"161","1","161","160","Test-Equipment-Tools/Environal-Measurement-Instruments/Infrared-Thermometer","3",null,null
"162","1","162","160","Test-Equipment-Tools/Environal-Measurement-Instruments/Temperature-Humidity-Instrument","3",null,null
"163","1","163","160","Test-Equipment-Tools/Environal-Measurement-Instruments/Gas-Testing-Instrument","3",null,null
"164","1","164","160","Test-Equipment-Tools/Environal-Measurement-Instruments/Water-Quality-Analysis-Instrument","3",null,null
"165","1","165","160","Test-Equipment-Tools/Environal-Measurement-Instruments/Soil-Analysis-Instrument","3",null,null
"166","1","166","160","Test-Equipment-Tools/Environal-Measurement-Instruments/Illuminometer","3",null,null
"167","1","167","160","Test-Equipment-Tools/Environal-Measurement-Instruments/Vibration-Noisemeter","3",null,null
"168","1","168","160","Test-Equipment-Tools/Environal-Measurement-Instruments/Breath-Alcohol-Tester","3",null,null
"169","1","169","160","Test-Equipment-Tools/Environal-Measurement-Instruments/Communication-Instruments","3",null,null
"170","1","170","160","Test-Equipment-Tools/Environal-Measurement-Instruments/Others","3",null,null
"171","1","171","144","Test-Equipment-Tools/Optical-Instrument","2",null,null
"172","1","172","171","Test-Equipment-Tools/Optical-Instrument/Microscope","3",null,null
"173","1","173","171","Test-Equipment-Tools/Optical-Instrument/Magnifier","3",null,null
"174","1","174","171","Test-Equipment-Tools/Optical-Instrument/Optical-measurement-instrument","3",null,null
"175","1","175","171","Test-Equipment-Tools/Optical-Instrument/Endoscopes","3",null,null
"176","1","176","144","Test-Equipment-Tools/Measurement-Instrument","2",null,null
"177","1","177","176","Test-Equipment-Tools/Measurement-Instrument/Balance-Weighing-Apparatus","3",null,null
"178","1","178","176","Test-Equipment-Tools/Measurement-Instrument/Length-Measuring-Instrument","3",null,null
"179","1","179","176","Test-Equipment-Tools/Measurement-Instrument/Others","3",null,null
"180","1","180","144","Test-Equipment-Tools/Hardware-Gadgets","2",null,null
"181","1","181","180","Test-Equipment-Tools/Hardware-Gadgets/Maintenance-Tools","3",null,null
"182","1","182","180","Test-Equipment-Tools/Hardware-Gadgets/Electric-Pneumatic-tools","3",null,null
"183","1","183","180","Test-Equipment-Tools/Hardware-Gadgets/Grinding-Tools","3",null,null
"184","1","184","180","Test-Equipment-Tools/Hardware-Gadgets/Paint-Sprying-Tools","3",null,null
"185","1","185","180","Test-Equipment-Tools/Hardware-Gadgets/Others","3",null,null
"186","1","186","144","Test-Equipment-Tools/Electrical-accessories","2",null,null
"187","1","187",null,"Computer-Networking","1",null,null
"188","1","188","187","Computer-Networking/Keyboards-Mice-Input","2",null,null
"189","1","189","188","Computer-Networking/Keyboards-Mice-Input/Keyboard","3",null,null
"190","1","190","188","Computer-Networking/Keyboards-Mice-Input/Mice","3",null,null
"191","1","191","188","Computer-Networking/Keyboards-Mice-Input/Barcode-Scanners","3",null,null
"192","1","192","188","Computer-Networking/Keyboards-Mice-Input/Other","3",null,null
"193","1","193","187","Computer-Networking/Computer-Accessories","2",null,null
"194","1","194","193","Computer-Networking/Computer-Accessories/USB-Hubs","3",null,null
"195","1","195","193","Computer-Networking/Computer-Accessories/Headsets-Microphones","3",null,null
"196","1","196","193","Computer-Networking/Computer-Accessories/Speakers","3",null,null
"197","1","197","193","Computer-Networking/Computer-Accessories/TV-Cards-Tuners","3",null,null
"198","1","198","193","Computer-Networking/Computer-Accessories/Card-Reader","3",null,null
"199","1","199","193","Computer-Networking/Computer-Accessories/PCMCIA-Cards","3",null,null
"200","1","200","193","Computer-Networking/Computer-Accessories/Sound-Cards","3",null,null
"201","1","201","193","Computer-Networking/Computer-Accessories/Webcams-PC-Cameras","3",null,null
"202","1","202","193","Computer-Networking/Computer-Accessories/PC-Remote-Control","3",null,null
"203","1","203","193","Computer-Networking/Computer-Accessories/Chargers-Adapters","3",null,null
"204","1","204","193","Computer-Networking/Computer-Accessories/CD-ROM-Floppy-Drives","3",null,null
"205","1","205","193","Computer-Networking/Computer-Accessories/Other","3",null,null
"206","1","206","187","Computer-Networking/Flash-Drives-Storage","2",null,null
"207","1","207","206","Computer-Networking/Flash-Drives-Storage/Flash-Disk","3",null,null
"208","1","208","206","Computer-Networking/Flash-Drives-Storage/Mini-SD-Cards","3",null,null
"209","1","209","206","Computer-Networking/Flash-Drives-Storage/SD-Cards","3",null,null
"210","1","210","206","Computer-Networking/Flash-Drives-Storage/Micro-Cards","3",null,null
"211","1","211","206","Computer-Networking/Flash-Drives-Storage/XD-Cards","3",null,null
"212","1","212","206","Computer-Networking/Flash-Drives-Storage/MMC-Cards","3",null,null
"213","1","213","206","Computer-Networking/Flash-Drives-Storage/MS-Pro-Duo","3",null,null
"214","1","214","206","Computer-Networking/Flash-Drives-Storage/CF-Cards","3",null,null
"215","1","215","206","Computer-Networking/Flash-Drives-Storage/Portable-Disk-Enclosures","3",null,null
"216","1","216","206","Computer-Networking/Flash-Drives-Storage/Memory-Card-Accessories","3",null,null
"217","1","217","187","Computer-Networking/Cables-Connectors","2",null,null
"218","1","218","217","Computer-Networking/Cables-Connectors/USB-Cables-Adapters","3",null,null
"219","1","219","217","Computer-Networking/Cables-Connectors/Firewire-Cables","3",null,null
"220","1","220","217","Computer-Networking/Cables-Connectors/Connectors","3",null,null
"221","1","221","217","Computer-Networking/Cables-Connectors/RS232-Series","3",null,null
"222","1","222","217","Computer-Networking/Cables-Connectors/Other-Cables","3",null,null
"223","1","223","217","Computer-Networking/Cables-Connectors/IDE-SATA","3",null,null
"224","1","224","187","Computer-Networking/Laptops-Notebooks","2",null,null
"225","1","225","224","Computer-Networking/Laptops-Notebooks/Laptop-Chargers-Adapters","3",null,null
"226","1","226","224","Computer-Networking/Laptops-Notebooks/Laptop-Batteries","3",null,null
"227","1","227","224","Computer-Networking/Laptops-Notebooks/Cooling-Pad","3",null,null
"228","1","228","224","Computer-Networking/Laptops-Notebooks/Laptop-Case-Bag","3",null,null
"229","1","229","224","Computer-Networking/Laptops-Notebooks/Mac-Accessories","3",null,null
"230","1","230","187","Computer-Networking/Networking-Communications","2",null,null
"231","1","231","230","Computer-Networking/Networking-Communications/Network-Cables-Connectors","3",null,null
"232","1","232","230","Computer-Networking/Networking-Communications/Modems-Hubs-Switches","3",null,null
"233","1","233","230","Computer-Networking/Networking-Communications/Networking-Telecom-Tools","3",null,null
"234","1","234","230","Computer-Networking/Networking-Communications/Wireless-Networking","3",null,null
"235","1","235","187","Computer-Networking/Printer-Supplies-Accessories","2",null,null
"236","1","236","187","Computer-Networking/USB-Gadgets","2",null,null
"237","1","237","236","Computer-Networking/USB-Gadgets/USB-Fan","3",null,null
"238","1","238","236","Computer-Networking/USB-Gadgets/USB-Lamp","3",null,null
"239","1","239","236","Computer-Networking/USB-Gadgets/USB-Phone","3",null,null
"240","1","240","236","Computer-Networking/USB-Gadgets/USB-Home-Improvement","3",null,null
"241","1","241","236","Computer-Networking/USB-Gadgets/Others-USB-Gadgets","3",null,null
"242","1","242","187","Computer-Networking/Bluetooth-IrDA","2",null,null
"243","1","243",null,"Cameras-Photo-Accessories","1",null,null
"244","1","244","243","Cameras-Photo-Accessories/Photographic-Goods","2",null,null
"245","1","245","243","Cameras-Photo-Accessories/Camcorders-Digital-Cameras","2",null,null
"246","1","246","245","Cameras-Photo-Accessories/Camcorders-Digital-Cameras/Digital-Cameras","3",null,null
"247","1","247","245","Cameras-Photo-Accessories/Camcorders-Digital-Cameras/Digital-Picture-Frames","3",null,null
"248","1","248","245","Cameras-Photo-Accessories/Camcorders-Digital-Cameras/Sport-Cameras","3",null,null
"249","1","249","245","Cameras-Photo-Accessories/Camcorders-Digital-Cameras/Mini-Cameras","3",null,null
"250","1","250","243","Cameras-Photo-Accessories/Flashes-Flash-Accessories","2",null,null
"251","1","251","250","Cameras-Photo-Accessories/Flashes-Flash-Accessories/Flashes-Speedlites","3",null,null
"252","1","252","250","Cameras-Photo-Accessories/Flashes-Flash-Accessories/Ringlight-Flashes","3",null,null
"253","1","253","250","Cameras-Photo-Accessories/Flashes-Flash-Accessories/Diffusers","3",null,null
"254","1","254","250","Cameras-Photo-Accessories/Flashes-Flash-Accessories/Flash-Triggers","3",null,null
"255","1","255","250","Cameras-Photo-Accessories/Flashes-Flash-Accessories/Flash-Cables","3",null,null
"256","1","256","250","Cameras-Photo-Accessories/Flashes-Flash-Accessories/Hot-Shoes","3",null,null
"257","1","257","250","Cameras-Photo-Accessories/Flashes-Flash-Accessories/Others","3",null,null
"258","1","258","243","Cameras-Photo-Accessories/LED-Video-Lights-Accessories","2",null,null
"259","1","259","258","Cameras-Photo-Accessories/LED-Video-Lights-Accessories/LED-Video-Lights","3",null,null
"260","1","260","258","Cameras-Photo-Accessories/LED-Video-Lights-Accessories/LED-Video-Accessories","3",null,null
"261","1","261","243","Cameras-Photo-Accessories/Lenses-and-Filters","2",null,null
"262","1","262","261","Cameras-Photo-Accessories/Lenses-and-Filters/UV-Lens-Filter","3",null,null
"263","1","263","261","Cameras-Photo-Accessories/Lenses-and-Filters/Camera-Lenses","3",null,null
"264","1","264","261","Cameras-Photo-Accessories/Lenses-and-Filters/Lens-Hoods","3",null,null
"265","1","265","261","Cameras-Photo-Accessories/Lenses-and-Filters/Macro-Extension-Tubes","3",null,null
"266","1","266","261","Cameras-Photo-Accessories/Lenses-and-Filters/Viewfinders","3",null,null
"267","1","267","261","Cameras-Photo-Accessories/Lenses-and-Filters/Adapters-Converters","3",null,null
"268","1","268","261","Cameras-Photo-Accessories/Lenses-and-Filters/ND-Filters","3",null,null
"269","1","269","261","Cameras-Photo-Accessories/Lenses-and-Filters/Polarizer-Filters","3",null,null
"270","1","270","261","Cameras-Photo-Accessories/Lenses-and-Filters/UV-Filters","3",null,null
"271","1","271","261","Cameras-Photo-Accessories/Lenses-and-Filters/Filters-kit","3",null,null
"272","1","272","261","Cameras-Photo-Accessories/Lenses-and-Filters/Others","3",null,null
"273","1","273","243","Cameras-Photo-Accessories/Other-Camera-Accessories","2",null,null
"274","1","274","273","Cameras-Photo-Accessories/Other-Camera-Accessories/Remote-Controls","3",null,null
"275","1","275","273","Cameras-Photo-Accessories/Other-Camera-Accessories/LCD-Screens-Screen-Protectors","3",null,null
"276","1","276","273","Cameras-Photo-Accessories/Other-Camera-Accessories/Blinders","3",null,null
"277","1","277","273","Cameras-Photo-Accessories/Other-Camera-Accessories/Cleaning-Equipment","3",null,null
"278","1","278","273","Cameras-Photo-Accessories/Other-Camera-Accessories/Others","3",null,null
"279","1","279","243","Cameras-Photo-Accessories/Tripods-Supports","2",null,null
"280","1","280","279","Cameras-Photo-Accessories/Tripods-Supports/Tripods","3",null,null
"281","1","281","279","Cameras-Photo-Accessories/Tripods-Supports/Monopod-Tripods","3",null,null
"282","1","282","279","Cameras-Photo-Accessories/Tripods-Supports/Tripod-Heads","3",null,null
"283","1","283","279","Cameras-Photo-Accessories/Tripods-Supports/Tripods-Accessories","3",null,null
"284","1","284","243","Cameras-Photo-Accessories/DSLR-Video-Supports-Rigs","2",null,null
"285","1","285","284","Cameras-Photo-Accessories/DSLR-Video-Supports-Rigs/Video-Monitors","3",null,null
"286","1","286","284","Cameras-Photo-Accessories/DSLR-Video-Supports-Rigs/Video-Mics","3",null,null
"287","1","287","284","Cameras-Photo-Accessories/DSLR-Video-Supports-Rigs/Steadycams","3",null,null
"288","1","288","284","Cameras-Photo-Accessories/DSLR-Video-Supports-Rigs/Follow-Focuses","3",null,null
"289","1","289","284","Cameras-Photo-Accessories/DSLR-Video-Supports-Rigs/Matte-Boxes","3",null,null
"290","1","290","284","Cameras-Photo-Accessories/DSLR-Video-Supports-Rigs/Shoulder-Rigs-for-DLSR-DV","3",null,null
"291","1","291","284","Cameras-Photo-Accessories/DSLR-Video-Supports-Rigs/Video-Sliders","3",null,null
"292","1","292","284","Cameras-Photo-Accessories/DSLR-Video-Supports-Rigs/Dolly-Kit-Skater","3",null,null
"293","1","293","284","Cameras-Photo-Accessories/DSLR-Video-Supports-Rigs/Camera-Cages","3",null,null
"294","1","294","284","Cameras-Photo-Accessories/DSLR-Video-Supports-Rigs/Others","3",null,null
"295","1","295","243","Cameras-Photo-Accessories/Strobe-Lighting-Photo-Studio-Accessories","2",null,null
"296","1","296","295","Cameras-Photo-Accessories/Strobe-Lighting-Photo-Studio-Accessories/Strobe-Lighting","3",null,null
"297","1","297","295","Cameras-Photo-Accessories/Strobe-Lighting-Photo-Studio-Accessories/Reflectors","3",null,null
"298","1","298","295","Cameras-Photo-Accessories/Strobe-Lighting-Photo-Studio-Accessories/Umbrellas","3",null,null
"299","1","299","295","Cameras-Photo-Accessories/Strobe-Lighting-Photo-Studio-Accessories/Softboxes","3",null,null
"300","1","300","295","Cameras-Photo-Accessories/Strobe-Lighting-Photo-Studio-Accessories/Light-Sheds","3",null,null
"301","1","301","295","Cameras-Photo-Accessories/Strobe-Lighting-Photo-Studio-Accessories/Backgrounds","3",null,null
"302","1","302","295","Cameras-Photo-Accessories/Strobe-Lighting-Photo-Studio-Accessories/Studio-Light-Tripods","3",null,null
"303","1","303","295","Cameras-Photo-Accessories/Strobe-Lighting-Photo-Studio-Accessories/Photography-Props","3",null,null
"304","1","304","295","Cameras-Photo-Accessories/Strobe-Lighting-Photo-Studio-Accessories/Studio-Light-Shed-Kits","3",null,null
"305","1","305","295","Cameras-Photo-Accessories/Strobe-Lighting-Photo-Studio-Accessories/Studio-Flash-Kits","3",null,null
"306","1","306","295","Cameras-Photo-Accessories/Strobe-Lighting-Photo-Studio-Accessories/Others","3",null,null
"307","1","307","243","Cameras-Photo-Accessories/Bags-Cases-Straps","2",null,null
"308","1","308","307","Cameras-Photo-Accessories/Bags-Cases-Straps/Bag-Case","3",null,null
"309","1","309","307","Cameras-Photo-Accessories/Bags-Cases-Straps/Bags","3",null,null
"310","1","310","307","Cameras-Photo-Accessories/Bags-Cases-Straps/Straps","3",null,null
"311","1","311","307","Cameras-Photo-Accessories/Bags-Cases-Straps/Waterproof-Bags","3",null,null
